gene_id,gene_name,gene_type,replicated_overall_rank,overall_rank,average_rank,n_withinTop100,Br6522_LC_1_round1_single,Br6522_LC_2_round1_single,Br8153_LC_round2_left,Br8153_LC_round2_right,Br2701_LC_round2_top,Br2701_LC_round2_bottom,Br6522_LC_round3_leftbottom,Br6522_LC_round3_right,Br8079_LC_round3_left,Br8079_LC_round3_right,Br2701_LC_round3_left,Br2701_LC_round3_right,Br8153_LC_round3_left
ENSG00000140937,CDH11,protein_coding,NA,3409,2800,0,NA,NA,NA,NA,NA,NA,NA,2800,NA,NA,NA,NA,NA
ENSG00000105784,RUNDC3B,protein_coding,NA,3410,2804,0,NA,NA,NA,NA,NA,NA,NA,2804,NA,NA,NA,NA,NA
ENSG00000168175,MAPK1IP1L,protein_coding,NA,3411,2806,0,NA,NA,NA,NA,NA,NA,NA,2806,NA,NA,NA,NA,NA
ENSG00000198853,RUSC2,protein_coding,NA,3412,2807,0,NA,NA,NA,NA,NA,NA,NA,2807,NA,NA,NA,NA,NA
ENSG00000152154,TMEM178A,protein_coding,NA,3413,2809,0,2046,NA,NA,NA,NA,NA,NA,3572,NA,NA,NA,NA,NA
ENSG00000110917,MLEC,protein_coding,NA,3414,2811,0,NA,NA,NA,NA,NA,NA,NA,2811,NA,NA,NA,NA,NA
ENSG00000146938,NLGN4X,protein_coding,NA,3415,2812,0,NA,NA,NA,NA,NA,NA,NA,2812,NA,NA,NA,NA,NA
ENSG00000134056,MRPS36,protein_coding,NA,3416,2813,0,2346,NA,NA,NA,NA,NA,NA,3280,NA,NA,NA,NA,NA
ENSG00000112186,CAP2,protein_coding,NA,3417,2814,0,1913,NA,NA,NA,NA,NA,NA,3715,NA,NA,NA,NA,NA
ENSG00000153317,ASAP1,protein_coding,NA,3418,2815,0,NA,NA,NA,NA,NA,NA,NA,2815,NA,NA,NA,NA,NA
ENSG00000123545,NDUFAF4,protein_coding,NA,3419,2815.5,0,2103,NA,NA,NA,NA,NA,NA,3528,NA,NA,NA,NA,NA
ENSG00000100142,POLR2F,protein_coding,NA,3420,2816,0,2136,NA,NA,NA,NA,NA,NA,3496,NA,NA,NA,NA,NA
ENSG00000140157,NIPA2,protein_coding,NA,3421,2817,0,NA,NA,NA,NA,NA,NA,NA,2817,NA,NA,NA,NA,NA
ENSG00000172531,PPP1CA,protein_coding,NA,3422,2817.5,0,2395,NA,NA,NA,NA,NA,NA,3240,NA,NA,NA,NA,NA
ENSG00000170419,VSTM2A,protein_coding,NA,3423,2818,0,NA,NA,NA,NA,NA,NA,NA,2818,NA,NA,NA,NA,NA
ENSG00000172172,MRPL13,protein_coding,NA,3424,2819,0,NA,NA,NA,NA,NA,NA,NA,2819,NA,NA,NA,NA,NA
ENSG00000180628,PCGF5,protein_coding,NA,3425,2820,0,2141,NA,NA,NA,NA,NA,NA,3499,NA,NA,NA,NA,NA
ENSG00000058272,PPP1R12A,protein_coding,NA,3426,2821,0,NA,NA,NA,NA,NA,NA,NA,2821,NA,NA,NA,NA,NA
ENSG00000101019,UQCC1,protein_coding,NA,3427,2823,0,NA,NA,NA,NA,NA,NA,NA,2823,NA,NA,NA,NA,NA
ENSG00000110042,DTX4,protein_coding,NA,3428,2825,0,NA,NA,NA,NA,NA,NA,NA,2825,NA,NA,NA,NA,NA
ENSG00000133433,GSTT2B,protein_coding,NA,3429,2826,0,NA,NA,NA,NA,NA,NA,NA,2826,NA,NA,NA,NA,NA
ENSG00000130477,UNC13A,protein_coding,NA,3430,2827,0,NA,NA,NA,NA,NA,NA,NA,2827,NA,NA,NA,NA,NA
ENSG00000198663,C6orf89,protein_coding,NA,3431,2831,0,NA,NA,NA,NA,NA,NA,NA,2831,NA,NA,NA,NA,NA
ENSG00000067704,IARS2,protein_coding,NA,3432,2835,0,NA,NA,NA,NA,NA,NA,NA,2835,NA,NA,NA,NA,NA
ENSG00000188895,MSL1,protein_coding,NA,3433,2836,0,NA,NA,NA,NA,NA,NA,NA,2836,NA,NA,NA,NA,NA
ENSG00000187122,SLIT1,protein_coding,NA,3434,2838,0,NA,NA,NA,NA,NA,NA,NA,2838,NA,NA,NA,NA,NA
ENSG00000169288,MRPL1,protein_coding,NA,3435,2839,0,NA,NA,NA,NA,NA,NA,NA,2839,NA,NA,NA,NA,NA
ENSG00000255529,POLR2M,protein_coding,NA,3436,2840,0,NA,NA,NA,NA,NA,NA,NA,2840,NA,NA,NA,NA,NA
ENSG00000116954,RRAGC,protein_coding,NA,3437,2841,0,NA,NA,NA,NA,NA,NA,NA,2841,NA,NA,NA,NA,NA
ENSG00000094631,HDAC6,protein_coding,NA,3438,2843,0,NA,NA,NA,NA,NA,NA,NA,2843,NA,NA,NA,NA,NA
ENSG00000149532,CPSF7,protein_coding,NA,3439,2844,0,NA,NA,NA,NA,NA,NA,2150,3538,NA,NA,NA,NA,NA
ENSG00000107874,CUEDC2,protein_coding,NA,3440,2847,0,2168,NA,NA,NA,NA,NA,NA,3526,NA,NA,NA,NA,NA
ENSG00000198919,DZIP3,protein_coding,NA,3441.5,2849,0,2198,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA
ENSG00000170471,RALGAPB,protein_coding,NA,3441.5,2849,0,NA,NA,NA,NA,NA,NA,NA,2849,NA,NA,NA,NA,NA
ENSG00000197860,SGTB,protein_coding,NA,3443,2852,0,2363,NA,NA,NA,NA,NA,NA,3341,NA,NA,NA,NA,NA
ENSG00000204619,PPP1R11,protein_coding,NA,3444,2855,0,NA,NA,NA,NA,NA,NA,NA,2855,NA,NA,NA,NA,NA
ENSG00000164182,NDUFAF2,protein_coding,NA,3445,2859,0,NA,NA,NA,NA,NA,NA,NA,2859,NA,NA,NA,NA,NA
ENSG00000072134,EPN2,protein_coding,NA,3446,2860,0,NA,NA,NA,NA,NA,NA,NA,2860,NA,NA,NA,NA,NA
ENSG00000166471,TMEM41B,protein_coding,NA,3447,2863,0,NA,NA,NA,NA,NA,NA,NA,2863,NA,NA,NA,NA,NA
ENSG00000105835,NAMPT,protein_coding,NA,3448,2864,0,NA,NA,NA,NA,NA,NA,NA,2864,NA,NA,NA,NA,NA
ENSG00000116044,NFE2L2,protein_coding,NA,3449,2865,0,NA,NA,NA,NA,NA,NA,NA,2865,NA,NA,NA,NA,NA
ENSG00000138758,SEPTIN11,protein_coding,NA,3450,2866,0,NA,NA,NA,NA,NA,NA,NA,2866,NA,NA,NA,NA,NA
ENSG00000143384,MCL1,protein_coding,NA,3451,2869,0,NA,NA,NA,NA,NA,NA,2065,3673,NA,NA,NA,NA,NA
ENSG00000198231,DDX42,protein_coding,NA,3452,2870,0,NA,NA,NA,NA,NA,NA,NA,2870,NA,NA,NA,NA,NA
ENSG00000099785,2-Mar,protein_coding,NA,3453,2875,0,NA,NA,NA,NA,NA,NA,NA,2875,NA,NA,NA,NA,NA
ENSG00000089053,ANAPC5,protein_coding,NA,3454,2877,0,NA,NA,NA,NA,NA,NA,NA,2877,NA,NA,NA,NA,NA
ENSG00000104643,MTMR9,protein_coding,NA,3455.5,2882,0,2396,NA,NA,NA,NA,NA,NA,3368,NA,NA,NA,NA,NA
ENSG00000168522,FNTA,protein_coding,NA,3455.5,2882,0,2301,NA,NA,NA,NA,NA,NA,3463,NA,NA,NA,NA,NA
ENSG00000145934,TENM2,protein_coding,NA,3457,2886,0,NA,NA,NA,NA,NA,NA,NA,2886,NA,NA,NA,NA,NA
ENSG00000169018,FEM1B,protein_coding,NA,3458,2887.5,0,2422,NA,NA,NA,NA,NA,NA,3353,NA,NA,NA,NA,NA
ENSG00000116898,MRPS15,protein_coding,NA,3459,2888,0,NA,NA,NA,NA,NA,NA,NA,2888,NA,NA,NA,NA,NA
ENSG00000136699,SMPD4,protein_coding,NA,3460,2889,0,NA,NA,NA,NA,NA,NA,NA,2889,NA,NA,NA,NA,NA
ENSG00000147548,NSD3,protein_coding,NA,3461,2892,0,NA,NA,NA,NA,NA,NA,NA,2892,NA,NA,NA,NA,NA
ENSG00000135069,PSAT1,protein_coding,NA,3462.5,2894.5,0,2413,NA,NA,NA,NA,NA,NA,3376,NA,NA,NA,NA,NA
ENSG00000175334,BANF1,protein_coding,NA,3462.5,2894.5,0,NA,NA,NA,NA,NA,NA,2207,3582,NA,NA,NA,NA,NA
ENSG00000110786,PTPN5,protein_coding,NA,3464.5,2897,0,NA,NA,NA,NA,NA,NA,NA,2897,NA,NA,NA,NA,NA
ENSG00000140526,ABHD2,protein_coding,NA,3464.5,2897,0,2083,NA,NA,NA,NA,NA,NA,3711,NA,NA,NA,NA,NA
ENSG00000163807,KIAA1143,protein_coding,NA,3466,2899,0,NA,NA,NA,NA,NA,NA,NA,2899,NA,NA,NA,NA,NA
ENSG00000172465,TCEAL1,protein_coding,NA,3467,2902,0,NA,NA,NA,NA,NA,NA,NA,2902,NA,NA,NA,NA,NA
ENSG00000253729,PRKDC,protein_coding,NA,3468,2903,0,NA,NA,NA,NA,NA,NA,NA,2903,NA,NA,NA,NA,NA
ENSG00000159200,RCAN1,protein_coding,NA,3469,2906.5,0,2433,NA,NA,NA,NA,NA,NA,3380,NA,NA,NA,NA,NA
ENSG00000110002,VWA5A,protein_coding,NA,3470,2907,0,NA,NA,NA,NA,NA,NA,NA,2907,NA,NA,NA,NA,NA
ENSG00000108231,LGI1,protein_coding,NA,3471,2909,0,NA,NA,NA,NA,NA,NA,NA,2909,NA,NA,NA,NA,NA
ENSG00000128923,MINDY2,protein_coding,NA,3472,2910,0,NA,NA,NA,NA,NA,NA,NA,2910,NA,NA,NA,NA,NA
ENSG00000129824,RPS4Y1,protein_coding,NA,3473,2911.5,0,2426,NA,NA,NA,NA,NA,NA,3397,NA,NA,NA,NA,NA
ENSG00000170456,DENND5B,protein_coding,NA,3474,2912,0,NA,NA,NA,NA,NA,NA,NA,2912,NA,NA,NA,NA,NA
ENSG00000175874,CREG2,protein_coding,NA,3475,2919.5,0,NA,NA,NA,NA,NA,NA,2088,3751,NA,NA,NA,NA,NA
ENSG00000107404,DVL1,protein_coding,NA,3476,2923,0,NA,NA,NA,NA,NA,NA,NA,2923,NA,NA,NA,NA,NA
ENSG00000160877,NACC1,protein_coding,NA,3477,2924,0,NA,NA,NA,NA,NA,NA,NA,2924,NA,NA,NA,NA,NA
ENSG00000083799,CYLD,protein_coding,NA,3478,2925,0,NA,NA,NA,NA,NA,NA,NA,2925,NA,NA,NA,NA,NA
ENSG00000150764,DIXDC1,protein_coding,NA,3479,2926,0,NA,NA,NA,NA,NA,NA,NA,2926,NA,NA,NA,NA,NA
ENSG00000177606,JUN,protein_coding,NA,3480,2927,0,NA,NA,NA,NA,NA,NA,NA,2927,NA,NA,NA,NA,NA
ENSG00000196814,MVB12B,protein_coding,NA,3481,2929,0,NA,NA,NA,NA,NA,NA,NA,2929,NA,NA,NA,NA,NA
ENSG00000067369,TP53BP1,protein_coding,NA,3482,2930,0,NA,NA,NA,NA,NA,NA,NA,2930,NA,NA,NA,NA,NA
ENSG00000002549,LAP3,protein_coding,NA,3483,2931,0,NA,NA,NA,NA,NA,NA,NA,2931,NA,NA,NA,NA,NA
ENSG00000113845,TIMMDC1,protein_coding,NA,3484,2932,0,NA,NA,NA,NA,NA,NA,NA,2932,NA,NA,NA,NA,NA
ENSG00000198585,NUDT16,protein_coding,NA,3485,2935,0,NA,NA,NA,NA,NA,NA,NA,2935,NA,NA,NA,NA,NA
ENSG00000023287,RB1CC1,protein_coding,NA,3486,2936.5,0,2135,NA,NA,NA,NA,NA,NA,3738,NA,NA,NA,NA,NA
ENSG00000165238,WNK2,protein_coding,NA,3487,2937,0,NA,NA,NA,NA,NA,NA,NA,2937,NA,NA,NA,NA,NA
ENSG00000105618,PRPF31,protein_coding,NA,3488,2940,0,NA,NA,NA,NA,NA,NA,NA,2940,NA,NA,NA,NA,NA
ENSG00000065833,ME1,protein_coding,NA,3489,2940.5,0,NA,NA,NA,NA,NA,NA,2200,3681,NA,NA,NA,NA,NA
ENSG00000148362,PAXX,protein_coding,NA,3490,2945,0,NA,NA,NA,NA,NA,NA,NA,2945,NA,NA,NA,NA,NA
ENSG00000278970,HEIH,lncRNA,NA,3491,2946,0,NA,NA,NA,NA,NA,NA,NA,2946,NA,NA,NA,NA,NA
ENSG00000170231,FABP6,protein_coding,NA,3492,2948,0,NA,NA,NA,NA,NA,NA,NA,2948,NA,NA,NA,NA,NA
ENSG00000101972,STAG2,protein_coding,NA,3493,2950,0,NA,NA,NA,NA,NA,NA,NA,2950,NA,NA,NA,NA,NA
ENSG00000168958,MFF,protein_coding,NA,3494,2952,0,NA,NA,NA,NA,NA,NA,NA,2952,NA,NA,NA,NA,NA
ENSG00000129103,SUMF2,protein_coding,NA,3495,2953,0,NA,NA,NA,NA,NA,NA,NA,2953,NA,NA,NA,NA,NA
ENSG00000196562,SULF2,protein_coding,NA,3496,2955,0,NA,NA,NA,NA,NA,NA,NA,2955,NA,NA,NA,NA,NA
ENSG00000143155,TIPRL,protein_coding,NA,3497,2956,0,NA,NA,NA,NA,NA,NA,NA,2956,NA,NA,NA,NA,NA
ENSG00000166206,GABRB3,protein_coding,NA,3498,2963,0,NA,NA,NA,NA,NA,NA,NA,2963,NA,NA,NA,NA,NA
