"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000164830",236,666,2172,1007,638,606,415,1259,562,1208,498,1171,676,1350,368,2001,1375,982,836,1148,1523,982,NA,NA,1061,735,1633,568,909,NA,1282,NA,1362,1090,1574,1026
"ENSG00000104408",1570,3540,2292,4769,NA,NA,NA,NA,1309,3283,NA,NA,3139,2692,NA,2117,NA,NA,NA,NA,NA,NA,NA,NA,NA,2915,3304,NA,NA,NA,NA,992,NA,NA,2053,NA
"ENSG00000104412",3226,3573,3687,3867,NA,NA,NA,NA,3533,3134,NA,NA,2173,3553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,NA,NA,NA,NA,NA,NA,3152,NA,NA,NA
"ENSG00000120533",2537,1853,4180,4095,2084,1985,2159,2896,3280,3388,NA,1955,2109,2689,2251,2435,1828,1876,2122,NA,2419,2189,NA,NA,2166,2245,3733,2478,NA,NA,2050,1798,2386,2830,2377,2250
"ENSG00000147654",4360,NA,NA,5545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147642",1524,2216,1215,1355,1237,NA,1147,1025,1313,978,NA,NA,1258,854,1135,1205,1168,873,1674,NA,734,732,717,NA,1025,845,719,1253,537,NA,1103,NA,774,948,627,844
"ENSG00000164794",727,NA,NA,1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,1561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2522,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000164796",2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147677",3010,2318,3701,4915,598,1964,1448,3065,3436,3265,2146,2071,3617,3617,2096,2088,1944,2048,2183,NA,2654,1995,NA,NA,2247,3449,3359,1129,2029,NA,2147,1707,3146,2756,2301,2999
"ENSG00000164754",2789,3151,3479,4115,2376,2106,2697,2090,4060,3539,1833,1996,3921,3820,3067,2574,1826,1804,1761,1460,2201,2381,NA,NA,1733,1532,3199,3302,1526,NA,1794,NA,3093,2703,2515,2759
"ENSG00000177570",1562,1898,2175,2452,NA,NA,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000147676",2956,687,851,376,919,654,852,364,627,665,179,413,395,428,658,1316,502,773,1391,704,498,629,NA,NA,624,495,521,493,402,NA,529,851,594,781,707,625
"ENSG00000136999",NA,245,NA,318,316,361,676,678,221,NA,70,360,77,462,124,NA,177,NA,NA,441,260,175,NA,NA,NA,NA,381,402,NA,NA,587,NA,NA,NA,NA,NA
"ENSG00000136960",790,268,159,124,156,203,1861,360,571,207,386,156,144,181,722,73,642,441,NA,178,138,310,219,116,NA,534,NA,388,727,386,81,29,500,NA,NA,NA
"ENSG00000172172",738,NA,NA,4483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000136986",2632,2994,4036,4174,NA,NA,NA,NA,3099,NA,NA,NA,NA,2919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1625,3724,NA,NA,NA,NA,NA,NA,NA,NA,NA
