"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000188976",3772,1979,3531,3312,NA,NA,NA,NA,NA,NA,NA,NA,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2479,NA,NA,NA
"ENSG00000188290",5683,NA,2881,NA,NA,871,1866,NA,NA,1652,NA,NA,1911,2177,3047,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000187608",261,NA,1793,628,1691,NA,947,NA,930,1313,NA,NA,2207,2406,1748,1993,NA,NA,1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2374,1604,NA,NA
"ENSG00000078808",2548,2917,3063,5287,2201,NA,NA,2651,3784,3545,NA,NA,3885,3662,3355,2392,NA,NA,NA,NA,2622,NA,NA,NA,1862,2974,2802,3311,NA,NA,NA,1711,NA,2286,2468,2962
"ENSG00000176022",4591,NA,4849,4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000160087",2811,NA,4453,3447,NA,NA,NA,NA,NA,NA,NA,NA,NA,4381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000131584",1665,2126,2799,3080,2577,NA,2541,2238,1649,2333,1094,1329,2935,2701,2529,1737,816,1636,974,NA,1276,2063,NA,NA,416,574,1952,2423,1797,NA,1852,NA,1601,812,1071,1100
"ENSG00000127054",1838,NA,3814,4974,NA,NA,NA,2592,2804,3153,NA,NA,3911,3127,2260,2373,NA,NA,NA,NA,1629,NA,NA,NA,841,1637,2751,NA,NA,NA,NA,NA,NA,2571,NA,1672
"ENSG00000224051",3539,NA,NA,3548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000107404",5051,NA,4705,5311,NA,NA,2611,3055,NA,NA,NA,NA,NA,4406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348,3535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000175756",5875,2707,4499,3321,2503,1952,2952,2469,2549,2446,1997,2137,1439,2511,900,1879,1805,1925,2113,1479,2001,1827,1327,1364,2097,3490,3955,3513,2013,1007,2214,2013,3314,2780,2498,2498
"ENSG00000221978",2873,3300,3717,4372,NA,NA,NA,NA,2892,2602,NA,NA,3761,3455,3284,2147,NA,NA,NA,NA,2097,NA,NA,NA,1161,1701,3561,3233,NA,NA,NA,NA,2575,1900,2152,2857
"ENSG00000242485",4074,1825,4469,3290,2260,1804,1898,1934,1990,2656,2119,1870,3419,2307,2213,1593,1777,1386,1672,1464,2467,2011,1329,1345,1671,3073,3729,2975,2004,960,2075,1920,2789,2122,2274,1890
"ENSG00000179403",4424,994,558,874,764,NA,NA,NA,NA,1249,1099,487,749,937,NA,NA,NA,NA,NA,NA,978,1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000205090",1872,1233,NA,2396,NA,NA,1645,1797,3066,NA,NA,NA,NA,1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374,1644,2151,NA,NA,NA,NA,NA,NA,1540,1872
"ENSG00000160075",2387,1608,3516,2538,1635,1583,992,2488,2415,2699,1321,1905,2529,2092,1501,1979,1377,1885,1717,1344,2035,2106,1093,1150,1963,1758,2084,1801,1603,NA,1522,1566,1785,2162,1980,1513
"ENSG00000228594",2414,NA,2342,2522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000272106",NA,NA,NA,NA,NA,NA,NA,NA,2139,NA,NA,NA,NA,2876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000197530",5788,NA,NA,3540,NA,NA,2822,NA,NA,NA,NA,NA,2246,NA,1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000189339",5106,NA,3821,4553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000215790",NA,NA,NA,4796,NA,NA,NA,NA,NA,NA,NA,NA,NA,2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000008130",3296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000078369",2570,1132,2750,2626,1060,1288,394,684,1086,863,839,1347,1272,1093,712,917,518,435,657,604,799,907,588,550,832,948,660,825,738,924,733,901,694,632,736,653
"ENSG00000187730",1576,491,444,1150,517,NA,417,NA,610,361,354,NA,866,192,723,419,474,NA,245,NA,401,NA,NA,NA,261,93,NA,958,369,NA,NA,NA,536,100,302,129
"ENSG00000067606",2117,803,1027,1218,675,1006,474,1286,1437,782,798,950,1505,1494,822,1009,1059,1110,764,994,850,1088,825,742,781,1464,1082,1615,742,727,1064,916,627,744,1413,861
"ENSG00000162585",3607,2152,4961,4741,NA,NA,NA,NA,NA,3208,NA,NA,3984,4128,2668,2464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619,NA,NA,NA,NA
"ENSG00000157933",4121,NA,3011,4816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000157916",5727,2556,3251,5288,2477,NA,2874,1849,3241,2782,NA,NA,3526,4378,3214,2714,NA,NA,1617,NA,2769,NA,NA,NA,NA,2511,2521,3324,NA,NA,1771,1969,3078,2612,2668,2213
"ENSG00000149527",NA,NA,2036,3603,NA,NA,NA,1893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000157881",NA,NA,NA,4002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000197921",NA,NA,1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000157873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2908,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000157870",2322,2112,2240,1762,NA,NA,1921,1550,2325,NA,NA,NA,NA,2080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3271,1855,2496,NA,NA,NA,NA,2089,1793,NA,NA
"ENSG00000177133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,NA,NA,NA,NA,NA,NA,NA,658,NA,NA,NA,NA,NA,NA,NA,987,NA,NA,NA,NA
"ENSG00000158109",707,866,1426,634,768,583,518,651,939,583,427,743,550,1033,482,1246,522,523,515,721,923,554,684,731,674,1888,451,873,1071,NA,711,891,705,572,1139,644
"ENSG00000130764",5136,3184,3782,2957,NA,1538,2015,2773,2618,1781,NA,1807,3242,2854,2551,NA,NA,NA,NA,NA,2707,2215,NA,NA,NA,2160,2016,2694,NA,NA,NA,NA,2284,1801,NA,1938
"ENSG00000196581",3739,3145,3018,2782,NA,NA,NA,1566,NA,NA,NA,NA,NA,2661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2624,NA,NA,NA,NA,NA,1551,NA,NA,NA
"ENSG00000069424",1848,789,880,266,306,519,244,493,640,186,95,262,280,276,432,598,567,551,470,328,296,292,274,241,317,449,1142,428,410,867,694,526,586,521,525,366
"ENSG00000116254",330,627,587,592,502,673,453,1236,1909,929,462,465,912,810,1711,1445,1233,1035,1387,NA,627,800,739,492,541,979,1005,1045,720,NA,917,NA,749,1039,778,1468
"ENSG00000116251",1015,1409,635,1547,602,785,1428,613,1174,845,976,762,1359,1032,1488,409,1396,693,689,602,812,1739,291,366,1184,1122,1575,828,805,369,914,372,1228,2021,1800,2072
"ENSG00000116237",2509,NA,4420,4779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3599,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000097021",464,468,640,213,335,374,275,393,385,138,235,446,295,475,182,402,185,236,169,214,403,267,277,404,332,434,286,245,397,401,249,307,164,116,260,177
"ENSG00000215788",2479,NA,NA,1947,NA,NA,NA,NA,494,NA,NA,NA,NA,537,NA,NA,NA,NA,NA,NA,531,NA,NA,NA,570,445,2280,NA,NA,NA,NA,NA,NA,NA,NA,963
"ENSG00000171680",NA,NA,NA,1898,NA,NA,NA,NA,2647,NA,NA,NA,NA,1180,NA,NA,NA,NA,NA,NA,1572,NA,NA,NA,NA,3247,2514,NA,NA,NA,NA,NA,2339,1302,NA,NA
"ENSG00000162408",4050,NA,NA,3717,NA,NA,NA,2711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3741,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000162413",5755,NA,NA,4463,NA,NA,NA,NA,3869,NA,NA,NA,3388,2533,NA,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1397,NA,NA,NA,NA
"ENSG00000007923",1776,NA,NA,4121,NA,NA,NA,NA,NA,NA,NA,NA,NA,4124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000171735",5450,1905,2539,4280,2395,2008,1767,2437,3881,2186,1443,1931,2227,3130,1717,1958,1862,2137,1577,NA,2500,1394,1306,NA,2031,3083,2649,2850,1048,NA,1986,2011,3020,1883,2105,2583
"ENSG00000049245",4670,NA,958,1148,NA,NA,NA,NA,NA,1357,1598,NA,1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000116288",1678,1953,2530,1810,1936,1513,1059,1395,1250,1991,1573,1655,1324,1491,595,801,1210,1476,782,1125,1704,1434,950,807,981,1940,2712,1485,1000,1076,1720,1620,1447,697,1442,1165
"ENSG00000116285",2761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000162426",NA,NA,NA,2820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000142599",4130,2950,2671,3348,2225,1722,1778,2101,3338,3501,NA,2096,3612,3543,3305,NA,NA,1747,NA,NA,2809,NA,NA,NA,2184,2864,2240,2835,1846,NA,NA,NA,2725,2866,2697,1878
"ENSG00000074800",409,432,1197,596,851,585,217,191,973,1225,785,759,1011,1326,486,1416,566,619,456,698,942,456,533,613,623,932,407,271,477,491,403,539,804,249,571,352
"ENSG00000171603",530,192,767,366,267,352,115,220,331,342,231,142,362,296,178,636,137,308,335,203,280,188,170,185,185,287,141,206,126,203,216,427,153,209,143,211
"ENSG00000178585",3150,NA,3742,4670,NA,NA,2477,NA,NA,NA,NA,NA,2390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2921,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000130939",2679,NA,NA,5564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000054523",1046,1941,2092,3721,1953,1185,885,2079,2076,1691,1684,1426,2564,1855,2675,1413,910,987,800,1339,974,1266,827,798,1082,1096,911,1912,1502,822,941,925,797,657,772,714
"ENSG00000142657",2331,1990,3856,4674,NA,NA,2500,NA,2669,3404,NA,NA,NA,4267,2472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2653,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000241563",601,1610,1605,2001,657,1314,1673,NA,2384,NA,366,NA,706,957,1091,815,NA,NA,819,1049,1031,1270,NA,NA,1149,701,NA,893,1105,NA,NA,NA,NA,498,NA,NA
"ENSG00000160049",NA,NA,NA,5502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000120948",4544,3385,4890,3172,NA,NA,NA,NA,3559,3435,1889,NA,3668,2885,3338,NA,NA,NA,NA,NA,2509,NA,NA,NA,NA,2314,2632,3440,NA,NA,NA,NA,NA,NA,NA,1816
"ENSG00000116649",1364,1141,2476,1138,1155,833,1149,2484,1269,2546,909,1597,628,1774,452,1734,1404,1855,1445,1380,2504,1437,NA,NA,1347,1570,1967,1223,1143,NA,1537,NA,1978,2477,1420,1705
"ENSG00000198793",5545,NA,4501,3982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000204624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000116661",3997,1388,1034,2082,1532,938,1043,1131,1256,2029,1775,1516,2043,1885,1904,771,1261,1742,1832,1014,1291,1706,1200,1262,753,2330,2425,1632,1050,306,1246,1316,2146,1220,1560,1436
"ENSG00000132879",1802,1080,1295,604,791,665,347,624,1263,1004,731,636,936,736,893,1043,400,671,768,871,666,769,625,674,563,855,508,936,732,442,645,703,440,480,532,734
"ENSG00000177674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,NA,NA,NA,NA
"ENSG00000011021",4091,2817,3177,2836,NA,NA,NA,NA,2908,2733,NA,NA,3452,4271,NA,NA,NA,NA,NA,NA,1774,NA,NA,NA,NA,2636,2541,2594,NA,NA,NA,NA,1823,2792,NA,NA
"ENSG00000116685",5232,NA,NA,5366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000083444",NA,NA,NA,5571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000116688",2707,3250,2310,2482,2082,NA,2504,2049,2100,1993,2180,1901,3559,2935,2187,2403,NA,1658,1313,NA,1879,1788,NA,NA,2092,2586,2174,2910,1494,NA,1746,NA,1466,1947,1811,2130
"ENSG00000048707",4328,3356,4639,3139,NA,NA,2447,3060,NA,NA,NA,NA,4044,4093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2321,3309,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000162496",1398,NA,1993,4274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,NA,NA,NA,NA
"ENSG00000116731",5638,2778,NA,5877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2236,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000189337",2177,NA,3644,5125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000142634",564,172,3991,1985,192,259,171,NA,453,1288,609,NA,274,2582,151,1405,NA,NA,NA,NA,NA,600,NA,NA,76,NA,NA,197,187,NA,NA,NA,1529,NA,NA,NA
"ENSG00000116138",5721,NA,NA,5249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000116786",3421,NA,4283,3361,NA,NA,2236,NA,3679,NA,NA,NA,NA,3921,2035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2837,NA,NA,2288
"ENSG00000065526",4647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000185519",NA,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000037637",NA,NA,NA,3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000055070",5623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000159363",845,1185,913,378,460,403,419,1083,783,662,424,738,711,1054,551,1272,1137,719,1254,831,1105,729,822,915,1148,2463,1013,763,1039,NA,811,890,780,735,1032,1181
"ENSG00000117118",3819,1739,3514,3823,2230,NA,2171,1571,2859,2222,NA,NA,2514,3120,1288,2184,1625,1518,1297,NA,2366,1908,NA,NA,1952,2623,2768,2407,NA,NA,1998,1662,2318,3017,2443,2832
"ENSG00000117115",3624,328,109,398,350,425,NA,840,579,890,519,298,353,678,981,NA,NA,NA,NA,NA,752,620,NA,NA,686,1318,NA,765,NA,NA,NA,NA,1457,1036,1389,NA
"ENSG00000074964",2739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000117154",744,1402,2552,974,1143,1002,1692,1241,1963,1048,NA,1237,1472,1804,971,1515,NA,508,1173,NA,908,1053,621,NA,1018,1422,1238,1399,1058,NA,1136,NA,700,1422,1070,1144
"ENSG00000159423",1783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000127463",3648,NA,NA,4011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000053372",906,NA,NA,2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000053371",5388,NA,4426,5338,NA,NA,NA,3026,3961,3468,NA,NA,3822,3401,3051,2307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3688,NA,NA,NA,NA,1357,NA,NA,NA,NA
"ENSG00000077549",1407,1238,2384,2131,1852,1484,1465,870,1533,1602,1868,1422,2104,1468,1427,1180,1071,1295,1559,1047,1006,959,787,764,1377,1839,937,1976,1890,705,968,1105,914,1204,580,996
"ENSG00000173436",3360,2051,1683,2887,1694,1737,2605,3193,3044,2078,1551,1677,1432,3378,1349,1153,1965,1998,1959,1305,2295,1269,855,1086,2056,2483,3597,2054,1909,890,2079,1715,1846,2492,2441,3115
"ENSG00000158747",1372,785,842,625,533,723,617,567,1131,645,896,490,668,450,782,926,859,1099,1156,765,516,257,333,461,652,900,678,909,706,548,496,461,451,413,372,378
"ENSG00000127472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929,NA,NA,NA,NA
"ENSG00000162545",16,301,344,886,520,985,438,1055,92,377,948,1070,2026,343,269,199,206,162,135,429,184,187,112,144,181,240,1194,770,157,337,264,333,317,153,226,151
"ENSG00000090432",NA,NA,NA,5368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000158828",1486,1006,2032,902,630,838,646,1263,900,824,1233,978,965,1299,627,1572,967,1008,1196,1011,1509,488,710,926,1314,2361,1216,1113,1221,790,1110,1167,857,1051,1453,1242
"ENSG00000189410",852,NA,1391,1560,NA,NA,NA,NA,1539,NA,NA,NA,NA,1219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000127483",3183,2986,3819,5477,2408,2077,2935,2808,3643,3395,2063,1730,3758,4101,2397,2754,1958,1921,2002,NA,2673,2325,NA,NA,2245,2598,2935,2765,2082,NA,2018,NA,2358,2560,2690,2279
"ENSG00000075151",5756,2306,3139,1646,1798,NA,1963,2869,2505,2554,1517,NA,3050,4057,1582,2634,1842,1211,1447,NA,2169,1604,NA,NA,1800,2678,1595,2830,NA,NA,2142,1776,2021,2283,2345,1726
"ENSG00000076864",945,641,686,488,697,395,421,750,617,913,398,659,743,1562,578,1504,802,890,867,776,798,742,704,780,644,1083,425,518,1005,709,830,872,819,1418,1060,1713
"ENSG00000090686",2107,NA,NA,4315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000070831",792,2773,3023,3654,1921,1506,1160,1865,1960,2123,1557,2081,2787,2484,1106,1582,1387,1292,941,1061,2304,2095,1155,1403,1774,1367,1799,1593,1123,899,1030,1440,1476,2225,1834,1654
"ENSG00000173372",2648,2573,629,2894,NA,NA,NA,2720,NA,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000159189",3027,NA,1137,2841,NA,NA,NA,NA,NA,NA,693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000173369",1270,2921,580,1803,1829,NA,NA,2517,1195,1058,524,1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3032,2163,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000004487",NA,NA,3116,3489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169641",946,1725,NA,1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000125944",2598,2509,4725,4177,2340,NA,2854,2666,2305,3308,2139,NA,3903,3393,2496,2744,1930,NA,2006,NA,2583,NA,NA,NA,1722,1912,2580,3230,2042,NA,NA,NA,2474,2794,2414,2219
"ENSG00000117318",NA,NA,290,715,469,134,NA,NA,226,NA,NA,NA,771,729,515,351,NA,NA,NA,NA,1398,NA,NA,NA,NA,943,NA,NA,1238,388,NA,1136,NA,NA,NA,NA
"ENSG00000142676",813,743,584,1071,341,471,991,272,449,502,505,265,1057,231,325,232,1174,583,295,186,523,649,299,333,1187,550,592,434,579,121,282,310,744,1083,635,809
"ENSG00000057757",1443,1964,1900,1583,1371,1262,871,645,1076,1039,1358,1718,1625,1502,1084,1227,691,711,511,821,1364,1072,761,1068,1113,924,655,811,1175,NA,867,991,791,598,876,596
"ENSG00000011009",3547,2527,4082,1842,NA,NA,NA,1130,2680,1286,NA,NA,2265,1336,NA,1556,NA,NA,NA,NA,1260,NA,NA,NA,NA,2856,1622,NA,NA,NA,1149,963,NA,2358,NA,NA
"ENSG00000189266",5061,NA,4704,5732,NA,NA,NA,NA,3512,NA,NA,NA,NA,4407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2621,3574,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000188529",4838,NA,4260,4260,NA,NA,NA,NA,3498,NA,NA,NA,NA,3265,3156,NA,NA,NA,NA,NA,2151,NA,NA,NA,NA,2466,3093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000001461",3598,NA,2461,1387,1314,NA,NA,NA,NA,2463,1295,NA,1837,1832,3025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000133226",3890,NA,NA,4580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169504",1652,NA,947,788,NA,NA,NA,NA,NA,1306,1867,583,926,1136,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
